n_particles,run,Ts,I,SD,Success,Type
5,23,80.81611081171197,400,808.1611081171196,0,Fixed
5,23,12.552572491137482,331,601.1258114489035,1,RL
5,24,25.073107077502648,22,762.2279812851109,1,Fixed
5,24,24.498011314519125,400,244.98011314519124,0,RL
5,25,69.66691240992309,400,696.6691240992309,0,Fixed
5,25,38.63128722695198,400,386.3128722695198,0,RL
5,26,8.090654879372078,13,745.2290981268363,1,Fixed
5,26,14.623989588819736,400,146.23989588819737,0,RL
5,27,23.584772286429732,19,786.6107954611238,1,Fixed
5,27,23.343623603315372,22,903.2178225191265,1,RL
5,28,8.457783705509023,16,915.5047212946724,1,Fixed
5,28,83.68432995368237,400,836.8432995368237,0,RL
5,29,11.07088630767935,18,740.0743883913044,1,Fixed
5,29,84.0399271398951,400,840.399271398951,0,RL
5,30,51.357441241545175,400,513.5744124154518,0,Fixed
5,30,18.648265967668372,14,998.5485905039226,1,RL
5,31,15.02434895959916,27,690.5065968663125,1,Fixed
5,31,41.80001437104552,400,418.0001437104552,0,RL
5,32,50.8326929593207,400,508.326929593207,0,Fixed
5,32,10.875090501112412,38,654.2405366184692,1,RL
5,33,9.39223657255516,17,613.9850889746929,1,Fixed
5,33,13.51997359062904,23,1351.1587536307857,1,RL
5,34,8.701014640082096,19,764.3990858428087,1,Fixed
5,34,22.07886410776846,17,832.0716752421425,1,RL
5,35,14.21484236091558,21,586.8708571380098,1,Fixed
5,35,104.74003351109388,400,1047.4003351109388,0,RL
5,36,18.7392053625084,21,833.032173319044,1,Fixed
5,36,6.9733202025056595,20,552.4275603321928,1,RL
5,37,13.250160942206119,19,770.1032380458624,1,Fixed
5,37,11.14340270683495,18,670.4670326385819,1,RL
5,38,19.639713083894712,16,1068.9234302021941,1,Fixed
5,38,65.25082226093926,400,652.5082226093926,0,RL
5,39,61.444681707038924,400,614.4468170703892,0,Fixed
5,39,10.615368639908196,26,802.4831544565812,1,RL
5,40,12.575034542112657,18,670.5842941140322,1,Fixed
5,40,13.11242379246018,10,793.4324467291199,1,RL
5,41,19.426183976857665,17,742.7101776343396,1,Fixed
5,41,82.9498817005289,400,829.4988170052891,0,RL
5,42,74.97556851767995,400,749.7556851767995,0,Fixed
5,42,97.40164839384047,400,974.0164839384047,0,RL
5,43,16.310395573753112,17,845.3724081471901,1,Fixed
5,43,98.35885561225453,400,983.5885561225452,0,RL
5,44,77.66829657258718,400,776.6829657258718,0,Fixed
5,44,19.83131970149444,400,198.3131970149444,0,RL
5,45,19.882098519649468,10,811.9490841263284,1,Fixed
5,45,108.23808184306908,400,1082.3808184306909,0,RL
5,46,71.43540733717245,400,714.3540733717244,0,Fixed
5,46,52.78638801657011,400,527.8638801657011,0,RL
5,47,7.932611827081838,25,878.8129242444513,1,Fixed
5,47,81.29267379498988,400,812.9267379498988,0,RL
5,48,12.009657305723648,13,743.0007105356092,1,Fixed
5,48,15.912895129418876,35,905.2800570383633,1,RL
5,49,119.82686781147979,400,1198.268678114798,0,Fixed
5,49,103.0920404912436,400,1030.920404912436,0,RL
5,50,16.107099720965316,31,971.045628808717,1,Fixed
5,50,63.343427007404365,400,633.4342700740436,0,RL
5,51,19.92551827984582,20,768.8775014682934,1,Fixed
5,51,15.342170555159868,25,852.6883727032948,1,RL
5,52,90.27178571603996,400,902.7178571603996,0,Fixed
5,52,106.02385980121073,400,1060.2385980121073,0,RL
5,53,9.764008882167248,14,673.7770543514524,1,Fixed
5,53,77.50606632978926,400,775.0606632978927,0,RL
5,54,19.16112764629309,15,786.0022906991461,1,Fixed
5,54,95.97338783244132,400,959.7338783244131,0,RL
5,55,14.152014265251655,21,716.5620078831159,1,Fixed
5,55,35.503372653229434,38,880.533663828495,1,RL
5,56,16.53657296312287,24,887.6628005942309,1,Fixed
