source_id,source_x,source_y,run,Ts,I,SD,Success,Type
1,72.02679239473956,68.72830044131277,14,15.767937476517753,12,2541.523235863656,1,Fixed
1,72.02679239473956,68.72830044131277,14,17.34544448079391,12,3641.138982685529,1,RL
1,72.02679239473956,68.72830044131277,15,17.792921670505812,11,2989.5970400776105,1,Fixed
1,72.02679239473956,68.72830044131277,15,6.967416932472519,9,2505.3900615359653,1,RL
1,72.02679239473956,68.72830044131277,16,18.913151311322626,14,3665.2165655176436,1,Fixed
1,72.02679239473956,68.72830044131277,16,12.308818247529167,13,3047.9936477029187,1,RL
1,72.02679239473956,68.72830044131277,17,5.082131126835593,14,3254.5932416416927,1,Fixed
1,72.02679239473956,68.72830044131277,17,5.120682559541326,13,2281.9408160905155,1,RL
1,72.02679239473956,68.72830044131277,18,20.477431385051656,9,2621.4015713707154,1,Fixed
1,72.02679239473956,68.72830044131277,18,17.960203790020415,13,3285.8672113261036,1,RL
1,72.02679239473956,68.72830044131277,19,17.464677940352484,13,3234.6547295755763,1,Fixed
1,72.02679239473956,68.72830044131277,19,18.790204603734768,14,2906.5744211019846,1,RL
1,72.02679239473956,68.72830044131277,20,14.104170819233909,15,3281.0262168821796,1,Fixed
1,72.02679239473956,68.72830044131277,20,15.443474499362926,14,3023.130510734387,1,RL
1,72.02679239473956,68.72830044131277,21,18.20480981696243,16,3511.3240606516047,1,Fixed
1,72.02679239473956,68.72830044131277,21,9.85907020361075,8,2293.5825550065374,1,RL
1,72.02679239473956,68.72830044131277,22,13.70674240369008,13,3025.123769229308,1,Fixed
1,72.02679239473956,68.72830044131277,22,8.463163037146998,12,2997.4852368915745,1,RL
1,72.02679239473956,68.72830044131277,23,26.498293846873175,10,3119.7186193632483,1,Fixed
1,72.02679239473956,68.72830044131277,23,5.877420106685969,12,3191.039337960369,1,RL
1,72.02679239473956,68.72830044131277,24,9.236525875977545,13,3204.7026391263007,1,Fixed
1,72.02679239473956,68.72830044131277,24,14.071816893192302,15,3256.35665467159,1,RL
1,72.02679239473956,68.72830044131277,25,11.732924320880342,13,2916.72947686737,1,Fixed
1,72.02679239473956,68.72830044131277,25,18.776111366668225,15,3963.2311815462044,1,RL
1,72.02679239473956,68.72830044131277,26,5.502942564130693,11,2584.7678916617774,1,Fixed
1,72.02679239473956,68.72830044131277,26,6.962698858808698,11,2693.8970864931075,1,RL
1,72.02679239473956,68.72830044131277,27,10.46290548860088,14,2954.418809435781,1,Fixed
1,72.02679239473956,68.72830044131277,27,13.809821219086412,11,3075.35484859747,1,RL
1,72.02679239473956,68.72830044131277,28,6.751949766846752,13,3072.5731719650257,1,Fixed
1,72.02679239473956,68.72830044131277,28,15.767450883670872,13,2946.414639864584,1,RL
1,72.02679239473956,68.72830044131277,29,6.111624538272198,11,2904.7128427304892,1,Fixed
1,72.02679239473956,68.72830044131277,29,16.517796405754993,12,2976.206997480332,1,RL
1,72.02679239473956,68.72830044131277,30,7.640607929798665,14,2659.7613320903984,1,Fixed
1,72.02679239473956,68.72830044131277,30,12.336951608637913,17,3313.246089321514,1,RL
1,72.02679239473956,68.72830044131277,31,9.367087662942339,15,3035.418017538141,1,Fixed
1,72.02679239473956,68.72830044131277,31,11.24240095488528,11,3261.6220203681964,1,RL
1,72.02679239473956,68.72830044131277,32,8.522466711460941,15,2796.6349717228504,1,Fixed
1,72.02679239473956,68.72830044131277,32,11.660744636170733,7,2828.0540974715864,1,RL
