n_particles,run,Ts,I,SD,Success,Type
5,67,75.6115861214586,400,756.1158612145861,0,Fixed
5,67,22.837205376474525,22,1224.3797469117894,1,RL
5,68,16.523640313526084,20,837.6569744620185,1,Fixed
5,68,14.546382475284938,21,727.8501248193386,1,RL
5,69,12.460811679808831,16,895.3760839929707,1,Fixed
5,69,15.836966153142544,23,863.8310870488788,1,RL
5,70,16.99084219811217,18,853.4835299850922,1,Fixed
5,70,17.693770401972458,21,907.1370258679717,1,RL
5,71,90.84052281862321,400,908.4052281862322,0,Fixed
5,71,21.52887928631788,23,1076.4439643158942,1,RL
5,72,75.31387241272532,400,753.1387241272532,0,Fixed
5,72,21.58911964777607,21,1097.084799640727,1,RL
5,73,24.488421064364054,23,816.6861519670701,1,Fixed
5,73,17.01926675052052,35,851.1555350923336,1,RL
5,74,48.59494285767711,400,485.9494285767711,0,Fixed
5,74,22.33185413044703,17,1124.1677834388865,1,RL
5,75,12.32522472116287,17,633.840609868091,1,Fixed
5,75,17.13788043616675,17,863.1979386488782,1,RL
5,76,10.692828045803555,19,690.9545909972177,1,Fixed
5,76,16.62445898849091,19,831.2229494245458,1,RL
5,77,19.81359608464547,25,1066.3791981245222,1,Fixed
5,77,16.381941113683958,18,852.2125847384908,1,RL
5,78,13.674867332328507,20,709.0398052649721,1,Fixed
5,78,21.00668061836451,26,1060.7223260771489,1,RL
5,79,93.89144225214925,400,938.9144225214925,0,Fixed
5,79,16.93950879536237,400,852.6479422154542,0,RL
5,80,22.658970858123123,23,1127.7737606678957,1,Fixed
5,80,23.441490787436113,29,1172.7145367229105,1,RL
5,81,15.880524042200758,19,904.6530810519523,1,Fixed
5,81,17.53792661819526,25,881.0682308406344,1,RL
5,82,16.855717096927332,18,764.2623038857573,1,Fixed
5,82,25.6461886020511,30,1282.309430102555,1,RL
5,83,67.77401854722821,400,677.7401854722821,0,Fixed
5,83,14.20661784548581,22,752.2014197418448,1,RL
5,84,11.51904372387125,15,851.6151944757958,1,Fixed
5,84,14.954648503827242,21,750.6317427329801,1,RL
5,85,13.821629820689026,19,752.1867462813656,1,Fixed
5,85,24.064923569891718,22,1204.159966317712,1,RL
5,86,10.7571938907741,14,888.9901465085205,1,Fixed
5,86,20.438789685160643,29,1021.939484258032,1,RL
5,87,10.086129881806055,19,570.1735840955711,1,Fixed
5,87,21.491525663661918,24,1074.5762831830957,1,RL
5,88,9.127896019115363,24,730.1466584161275,1,Fixed
5,88,23.476505317606435,22,1226.7944253006463,1,RL
5,89,21.79472967717821,30,870.4259337874645,1,Fixed
5,89,22.512249191462292,33,1230.7030153995772,1,RL
5,90,55.66529524854659,400,556.6529524854659,0,Fixed
5,90,15.857351487436022,30,858.1730147787063,1,RL
5,91,11.922268717363421,15,596.746488540308,1,Fixed
5,91,17.619290725717995,23,923.0060101372936,1,RL
5,92,13.37413336230137,27,836.6886556840749,1,Fixed
5,92,19.048876096201806,67,964.9234101313111,1,RL
5,93,46.24425879001457,400,462.44258790014567,0,Fixed
5,93,14.094949398428108,400,830.0140533472849,0,RL
5,94,33.917206331620754,19,798.7069823126891,1,Fixed
5,94,24.053134668032634,23,1202.656733401632,1,RL
5,95,14.69320333889581,27,803.5086324036946,1,Fixed
5,95,19.670103366671444,29,983.5051683335724,1,RL
5,96,10.190263105096992,19,807.8594912919464,1,Fixed
5,96,21.74691928245729,24,1092.0321915844231,1,RL
5,97,22.200811757443496,21,974.876858084347,1,Fixed
5,97,13.429371386852681,26,671.4685693426342,1,RL
5,98,8.76641141496037,18,593.0984025439582,1,Fixed
5,98,21.978588621116334,22,1229.8161865166014,1,RL
5,99,11.557505743894842,19,834.1803658735812,1,Fixed
5,99,26.423686266085618,25,1351.9394141918194,1,RL
5,100,25.898914617011577,21,936.2258999816079,1,Fixed
5,100,16.67041146859997,10,833.8343842737963,1,RL
5,101,23.218011053616827,19,914.0673375472967,1,Fixed
5,101,21.363607943775232,27,1134.9395009133277,1,RL
5,102,13.858002343077354,24,872.0397761218992,1,Fixed
5,102,23.40525227251955,28,1199.4536124449733,1,RL
5,103,90.19210880103223,400,901.9210880103224,0,Fixed
5,103,23.67829613302608,23,1188.0017240475988,1,RL
5,104,35.77384393086016,400,357.7384393086016,0,Fixed
5,104,17.311498261177494,19,865.5749130588746,1,RL
5,105,44.85298184667749,400,448.5298184667749,0,Fixed
5,105,25.74773110156191,21,1329.3349651034582,1,RL
5,106,17.08131897211082,19,747.2653681803986,1,Fixed
5,106,24.25049104719749,22,1231.47032373363,1,RL
5,107,25.617585125979495,21,921.9626002978141,1,Fixed
5,107,12.358769639958474,400,662.6216780100184,0,RL
5,108,78.79031297103634,400,787.9031297103634,0,Fixed
5,108,28.667175734070167,32,1521.2739936529565,1,RL
5,109,15.43047694256667,29,688.5685763636327,1,Fixed
5,109,15.136692843919016,19,764.6077771944443,1,RL
5,110,8.272972926500126,18,1045.4562767120158,1,Fixed
5,110,13.544303758361458,400,841.8139548272298,0,RL
5,111,96.64588788274213,400,966.4588788274212,0,Fixed
5,111,12.832068909173204,400,666.5815504597872,0,RL
5,112,18.903493094301048,24,973.1151312259208,1,Fixed
5,112,22.48306264655172,31,1124.1531323275858,1,RL
5,113,21.250535707361394,26,870.0184914535698,1,Fixed
5,113,21.420971991152367,30,1083.5287821294442,1,RL
5,114,26.521595375496776,17,850.8968636870379,1,Fixed
5,114,23.74487706141177,35,1227.0322198440554,1,RL
5,115,71.05485552933946,400,710.5485552933947,0,Fixed
5,115,17.33178193475408,19,907.4317312166966,1,RL
5,116,12.43295469669727,31,668.6064344069545,1,Fixed
5,116,21.631068783772445,20,1099.2938230225614,1,RL
5,117,12.720160522893254,19,839.5267773527407,1,Fixed
5,117,15.475840290225664,21,773.7920145112832,1,RL
5,118,10.202812765889806,17,955.4882897915198,1,Fixed
5,118,24.552040474217293,36,1227.602023710865,1,RL
5,119,69.34100668148318,400,693.4100668148318,0,Fixed
5,119,16.1089116341849,15,805.445581709245,1,RL
5,120,68.2121273332981,400,682.121273332981,0,Fixed
5,120,16.412303121296926,22,820.6151560648464,1,RL
5,121,60.65415784822399,400,606.5415784822399,0,Fixed
5,121,18.18590719013605,15,918.8054705692873,1,RL
5,122,9.455048187779907,25,863.8965886819524,1,Fixed
5,122,16.775762546639527,24,838.7881273319765,1,RL
5,123,14.189356387819704,18,810.642885463926,1,Fixed
5,123,15.897769868645153,24,801.9694593317594,1,RL
5,124,22.586823119930976,18,994.3414853060401,1,Fixed
5,124,17.504424795983667,19,875.2212397991834,1,RL
5,125,11.571382828912501,15,663.3636122377231,1,Fixed
5,125,18.161772930360655,16,965.7059808365755,1,RL
5,126,15.36959196991408,18,734.5446171494864,1,Fixed
5,126,16.13809940436114,26,807.2468077261739,1,RL
